,Disability status,Eating 3 or more vegetables daily,Eating 2 or more fruits daily,Frequent mental distress,Taking medication for high blood pressure,Obesity,Ever had pneumococcal vaccine,Cholesterol checked in past 5 years,No leisure time physical activity within past month,Current smoking,Influenza vaccine within past year,Diabetes screening within past 3 years,Binge drinking within past 30 days,High blood pressure ever,Lifetime diagnosis of anxiety disorder,Lifetime diagnosis of depression,Increased confusion or memory loss (ICML) among older adults,Functional difficulties associated with increased confusion or memory loss (ICML) among older adults,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
"united states, dc & territories hispanic",41.8,14.3,15.2,83.0,52.8,48.6,39.1,90.8,21.2,10.8,46.4,,9.7,49.1,,16.8,,,34.7,75.5,
"united states, dc & territories native am/alaskan native",34.9,17.9,18.8,88.3,36.8,45.3,24.9,92.5,18.9,14.6,51.3,,7.9,57.0,,21.0,,,24.5,82.2,
"united states, dc & territories white, non-hispanic",39.7,24.5,10.9,93.5,45.4,49.9,26.1,93.7,28.4,16.6,49.4,76.5,9.4,47.7,,21.6,,,17.8,76.5,
alabama no_data,27.4,19.9,14.4,84.9,39.3,54.3,31.8,94.9,28.2,18.0,54.4,,7.5,42.2,,22.0,,,23.5,77.3,
alaska no_data,46.3,17.4,9.5,87.0,38.9,54.7,36.6,93.1,23.5,22.9,46.1,,10.7,44.8,,20.4,,,22.7,77.7,
arizona no_data,35.4,27.8,14.2,91.9,41.6,46.4,28.6,93.9,24.9,18.8,39.7,,8.8,44.7,,22.8,,,22.3,69.4,
arkansas no_data,30.8,16.7,13.3,85.4,34.5,47.4,34.8,93.3,28.8,19.5,45.2,,7.8,45.4,,19.3,,,30.6,72.5,
california no_data,50.8,18.3,11.3,81.4,31.9,47.5,34.8,84.2,34.6,21.1,34.5,,4.4,52.8,,11.9,,,27.5,80.5,
colorado no_data,46.3,29.5,8.4,91.5,31.7,,24.5,91.0,20.8,13.3,49.0,66.9,9.1,51.5,,11.5,5.8,27.7,19.5,80.6,
connecticut no_data,50.1,21.3,10.5,89.2,29.7,45.5,24.1,90.2,23.8,14.5,48.2,,9.8,54.9,,24.2,,,19.4,80.8,
delaware no_data,33.2,23.1,9.5,84.7,36.2,53.6,33.8,92.2,27.8,17.3,44.4,,11.3,44.6,,21.7,10.5,,19.2,79.4,
district of columbia no_data,49.5,16.8,12.4,88.4,42.0,45.5,34.0,91.3,35.5,20.2,44.5,,12.1,44.9,,22.8,,,20.6,74.9,
florida no_data,40.3,22.4,16.6,88.4,38.2,55.1,37.9,91.1,28.1,16.0,58.1,,10.6,51.1,,14.9,,,25.1,81.8,
georgia no_data,35.1,18.5,12.8,86.4,29.7,51.8,34.5,92.9,30.0,17.3,53.2,,9.0,47.9,,17.9,,,18.2,79.4,
guam no_data,37.1,16.8,7.0,87.8,26.8,49.8,36.5,92.1,32.0,22.7,57.7,,6.7,38.9,,22.4,,,20.6,69.0,
hawaii no_data,37.1,28.2,8.5,76.3,34.5,50.7,35.9,91.6,41.8,19.0,48.6,,9.0,36.7,,20.7,,,31.0,65.1,
idaho no_data,37.6,27.9,11.4,90.2,32.2,49.6,38.0,94.1,27.8,15.8,50.7,,8.8,49.1,,25.6,,,34.9,79.6,
illinois no_data,43.7,26.2,12.2,88.7,35.0,52.7,33.2,92.9,28.7,14.8,53.5,,7.3,48.8,,18.0,,,20.4,79.4,
indiana no_data,35.2,19.2,12.3,90.0,28.2,49.5,31.4,95.3,25.5,13.5,56.9,,9.7,51.6,,19.5,,,20.6,79.2,
iowa no_data,46.4,14.9,8.9,89.4,35.1,56.9,28.0,93.1,25.5,17.1,42.3,,12.3,43.6,,22.9,,,20.8,77.6,
kansas no_data,29.7,18.7,9.8,91.5,46.8,50.8,38.4,91.8,29.0,18.0,46.9,64.7,10.9,47.2,,20.9,10.3,28.3,22.4,77.6,70.8
kentucky no_data,27.1,17.2,15.7,90.7,31.9,50.1,36.1,92.3,23.7,14.0,53.2,66.2,10.9,56.5,,16.2,,,22.4,82.1,70.8
minnesota no_data,21.5,15.0,13.8,88.5,46.0,49.3,32.1,90.7,39.8,20.2,46.4,,4.7,40.0,,23.3,,,17.9,61.1,
mississippi no_data,48.5,8.1,10.9,90.6,46.2,47.0,36.8,91.9,33.1,22.0,46.3,,9.5,43.3,,25.4,,,38.9,72.4,
missouri no_data,42.4,20.4,10.2,85.4,37.7,52.7,37.5,89.6,24.4,15.9,41.4,67.2,14.2,53.3,,22.5,,,27.6,77.6,
montana no_data,47.9,20.6,11.4,88.1,31.7,54.2,29.2,90.5,29.8,16.7,51.0,,10.7,49.7,,18.9,,,22.4,83.2,
nebraska no_data,43.0,22.3,10.4,88.7,37.0,49.0,37.2,85.0,27.4,19.8,25.7,,10.9,47.0,,22.9,,,16.8,70.6,
nevada no_data,39.9,18.8,11.1,87.6,33.3,42.7,30.3,95.9,22.4,10.8,49.8,71.3,8.9,53.8,14.4,20.7,9.3,29.0,29.4,86.2,
new hampshire no_data,43.7,17.2,6.8,92.3,32.4,58.9,34.2,92.1,27.2,15.4,46.1,65.4,7.8,49.9,,13.5,,,13.8,77.5,
new jersey no_data,22.7,17.6,12.8,89.0,43.2,37.2,29.1,90.2,25.3,18.5,47.2,73.8,7.9,53.4,19.9,27.4,,,22.5,71.7,
new mexico no_data,33.0,13.3,14.7,86.3,33.7,48.5,29.6,96.6,28.7,14.4,51.0,,13.1,47.7,,18.9,,,28.3,74.7,
new york no_data,42.6,15.9,10.8,87.9,36.6,52.3,33.3,94.8,32.4,16.9,51.2,,7.3,46.0,,21.9,,,25.3,72.6,
north carolina no_data,38.2,19.3,8.8,80.9,33.4,47.0,31.0,90.5,32.1,18.4,49.0,,12.4,51.4,,21.6,,,27.4,78.0,
north dakota no_data,37.7,15.8,10.5,85.1,33.3,51.3,39.0,94.9,27.5,14.6,50.2,71.2,10.8,49.4,14.4,18.9,9.3,29.0,22.0,77.7,
northeast no_data,49.0,25.5,9.7,90.4,36.6,51.4,31.7,92.1,30.6,19.7,49.4,,9.9,47.5,,21.0,,,22.3,73.2,
ohio no_data,39.8,27.2,11.7,86.7,45.8,52.6,36.8,88.7,38.0,20.3,49.1,,8.0,40.6,,29.0,,,26.8,69.2,
oklahoma no_data,44.3,16.6,16.7,87.6,42.3,56.8,36.6,90.5,18.8,13.0,44.0,,7.7,56.1,,29.9,,,30.8,79.5,
oregon no_data,48.2,23.1,11.9,91.7,33.0,56.1,30.6,94.2,27.3,14.8,48.6,73.2,10.8,50.4,,19.0,,,20.5,80.1,
pennsylvania no_data,32.5,22.6,11.4,84.3,30.7,53.6,32.3,88.6,52.7,9.1,23.3,,5.5,35.9,,26.3,,,19.9,41.4,
puerto rico no_data,38.2,18.6,7.2,88.1,31.5,17.6,33.0,94.4,28.5,13.4,47.6,,9.0,49.5,,25.4,,,58.6,80.2,
rhode island no_data,46.2,13.9,12.3,88.1,39.7,58.2,28.2,92.7,31.6,18.1,48.3,69.4,7.6,43.3,,21.6,8.1,33.9,19.8,70.3,67.0
south no_data,37.2,20.6,13.6,91.1,40.4,51.0,34.9,94.2,29.3,15.6,50.3,71.8,8.5,40.2,,17.5,12.9,32.2,29.7,71.0,
south carolina no_data,24.9,16.0,13.1,84.1,40.2,51.6,36.2,92.3,33.1,16.6,57.1,,8.5,48.2,,17.8,,,29.0,77.9,
south dakota no_data,46.3,14.2,9.4,88.1,42.4,54.8,36.1,94.1,40.8,19.5,50.4,65.0,4.5,43.4,,24.9,3.8,,22.1,69.2,67.0
tennessee no_data,44.0,25.4,14.5,89.3,37.5,57.0,31.1,89.9,29.7,15.0,50.0,,8.5,43.4,,21.0,,,30.8,69.1,
texas no_data,25.6,17.7,10.4,90.9,36.8,55.5,35.2,92.3,28.6,16.3,47.5,68.9,9.3,46.9,17.6,20.7,9.2,30.2,30.9,74.3,68.6
"united states, dc & territories no_data",46.9,8.5,12.7,90.2,40.3,49.9,32.9,90.7,24.4,7.9,48.1,,6.6,52.5,,24.8,,,25.7,81.4,
utah no_data,34.4,22.9,11.8,92.9,34.9,55.2,34.7,94.9,23.3,13.7,53.7,,6.4,54.7,,28.7,,,18.6,83.4,
vermont no_data,32.4,17.6,8.4,90.5,33.1,50.5,30.8,95.2,30.8,20.6,54.1,,6.1,43.8,,18.0,,,16.6,76.1,
virginia no_data,38.3,15.4,14.3,88.5,41.0,55.7,35.2,90.0,23.3,14.2,50.1,67.2,9.9,51.5,,23.4,,,23.9,81.9,
washington no_data,25.1,9.9,9.4,89.2,36.4,50.5,31.2,90.3,22.8,13.2,45.7,67.9,9.8,51.1,19.9,20.1,5.8,27.7,18.1,76.8,67.1
west virginia no_data,39.6,14.2,11.7,88.4,45.1,48.3,34.9,92.2,40.9,18.2,57.9,76.4,3.7,47.4,,23.5,8.3,,34.4,65.6,
wisconsin no_data,40.2,21.3,10.9,85.2,30.0,47.3,35.3,88.2,26.9,16.0,41.2,63.5,10.6,53.4,,18.2,10.0,,17.8,82.2,
wyoming no_data,46.1,19.7,10.3,81.3,34.1,43.9,32.2,87.6,29.9,24.1,42.0,64.7,12.1,55.2,,22.0,,,23.1,76.9,
