,Frequent mental distress,Fall with injury within last year,Disability status,Lifetime diagnosis of depression,Oral health:  tooth retention,Ever had pneumococcal vaccine,Obesity,Colorectal cancer screening,No leisure time physical activity within past month,Current smoking,Influenza vaccine within past year,Binge drinking within past 30 days,Diabetes screening within past 3 years,Social and emotional support,Life satisfaction,Prevalence of sufficient sleep (>6 hours),Self-rated health (fair to poor health),Self-rated health (good to excellent health)
northeast no_data,11.5,10.2,29.5,66.5,51.1,35.6,65.0,27.8,16.5,48.0,,6.2,,,17.4,18.3,81.7,73.3
ohio no_data,10.9,13.3,30.7,81.6,45.3,31.4,73.8,26.3,14.3,48.7,71.7,12.1,,,19.3,21.5,78.5,64.9
oklahoma no_data,14.4,14.5,40.8,74.7,58.4,42.6,68.2,30.4,16.6,48.2,70.2,9.5,,,21.6,24.8,75.2,66.9
oregon no_data,11.9,15.2,36.7,71.5,57.1,41.9,60.9,34.3,16.8,55.3,71.7,9.9,,,25.6,28.2,71.8,65.8
pennsylvania no_data,12.5,11.3,32.3,66.1,58.1,33.2,71.5,18.7,15.6,45.6,,6.5,,,25.8,19.3,80.7,69.4
puerto rico no_data,14.2,10.1,30.7,81.5,47.4,35.1,72.8,27.6,19.7,45.7,70.3,9.6,,,20.4,20.9,79.1,64.0
rhode island no_data,11.5,9.4,28.7,74.6,15.5,31.1,52.8,49.6,9.4,25.2,71.7,9.4,,,29.1,54.7,45.3,59.9
south no_data,11.8,11.7,35.2,66.7,49.1,29.5,77.6,21.8,13.4,53.0,86.4,6.5,,,21.1,20.2,79.8,71.5
south carolina no_data,12.7,12.1,39.8,80.7,46.2,35.3,70.8,30.4,17.1,48.3,73.3,8.3,,,22.0,28.7,71.3,65.6
south dakota no_data,5.5,13.1,31.2,70.3,49.4,37.8,72.8,30.2,17.3,50.3,70.6,8.2,,,24.3,28.3,71.7,73.6
tennessee no_data,11.4,10.6,37.8,66.4,48.5,37.3,70.7,25.4,15.2,57.9,71.1,8.8,,,12.4,17.8,82.2,67.0
texas no_data,9.9,11.0,31.5,80.1,48.2,37.1,67.5,35.7,22.1,54.9,70.5,11.9,,,23.9,30.6,69.4,67.1
"united states, dc & territories no_data",11.0,11.1,32.8,62.3,42.3,40.0,67.6,32.7,13.4,50.9,71.7,6.5,,,21.8,31.2,68.8,66.3
utah no_data,9.0,9.1,30.6,79.0,46.6,33.7,71.3,27.4,15.4,47.4,,10.4,4.0,96.3,20.6,25.0,75.0,69.9
vermont no_data,10.5,12.2,33.0,74.1,50.6,31.8,73.1,17.7,6.9,48.0,70.0,9.1,,,22.7,16.0,84.0,73.3
virginia no_data,9.6,10.2,28.1,83.9,49.7,29.2,75.5,21.9,11.4,52.4,,7.2,,,24.9,16.8,83.2,64.5
washington no_data,10.0,13.0,36.2,73.8,50.4,35.6,72.8,28.4,15.0,51.2,65.1,9.2,,,18.0,23.6,76.4,69.9
west no_data,10.6,10.8,33.7,74.6,52.7,34.4,76.1,18.9,13.3,50.9,75.4,7.6,,,23.7,16.5,83.5,66.1
west virginia no_data,14.3,13.6,42.5,83.5,47.2,29.7,71.7,21.7,12.7,45.3,63.7,10.7,,,26.6,23.8,76.2,65.4
wisconsin no_data,9.0,8.2,31.1,54.1,55.7,40.0,70.2,29.5,20.4,62.4,66.2,5.3,,,19.1,33.1,66.9,72.7
wyoming no_data,9.2,12.9,28.9,77.7,50.6,36.2,75.2,21.8,15.7,43.0,76.3,14.4,,,21.2,20.2,79.8,72.0
