,Frequent mental distress,Fall with injury within last year,Disability status,Oral health:  tooth retention,Social and emotional support,Ever had pneumococcal vaccine,Obesity,Colorectal cancer screening,Current smoking,No leisure time physical activity within past month,Life satisfaction,Influenza vaccine within past year,Diabetes screening within past 3 years,Binge drinking within past 30 days,Lifetime diagnosis of depression,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
nevada no_data,9.6,7.5,25.7,75.7,43.2,33.0,58.3,20.8,18.8,41.2,,15.4,,,14.9,23.3,76.7,61.2
new hampshire no_data,7.3,9.3,25.3,84.0,30.9,28.5,62.8,24.7,18.3,45.4,,13.4,,,19.5,16.5,83.5,69.6
new jersey no_data,11.7,8.2,23.7,78.0,42.4,25.2,51.3,34.2,19.8,34.9,65.0,12.8,,,17.4,21.5,78.5,58.7
new mexico no_data,13.6,11.8,35.5,78.2,38.1,32.6,80.0,19.2,16.9,45.9,,10.0,,,21.6,25.9,74.1,66.5
new york no_data,12.7,14.3,36.2,77.4,41.7,34.1,67.8,24.4,13.9,43.7,66.1,10.1,,,23.2,26.6,73.4,61.4
north carolina no_data,11.9,11.5,33.9,72.1,40.4,34.8,58.2,22.8,19.3,40.1,64.9,10.6,,,21.8,22.4,77.6,62.9
north dakota no_data,6.9,10.2,21.1,81.8,45.6,35.5,69.2,27.4,17.1,43.6,,8.5,,,16.2,15.2,84.8,72.2
northeast no_data,12.8,11.9,29.9,78.9,37.3,38.1,70.5,24.9,22.0,51.4,,8.5,,,22.3,22.1,77.9,60.9
ohio no_data,13.9,15.1,31.0,75.8,40.2,32.4,61.7,24.0,20.5,43.9,66.0,15.5,,,27.7,22.5,77.5,59.7
oklahoma no_data,16.5,14.0,37.3,73.9,37.1,36.0,70.3,24.7,17.1,44.2,67.4,10.9,,,28.0,25.7,74.3,63.8
oregon no_data,12.7,12.7,34.6,83.1,45.3,37.9,63.3,27.2,23.6,41.7,67.9,14.4,,,26.5,22.6,77.4,66.3
pennsylvania no_data,14.7,11.2,28.3,80.3,48.0,37.3,56.2,32.9,23.1,46.4,,8.7,,,22.0,21.6,78.4,59.6
puerto rico no_data,20.7,10.8,38.8,70.8,41.4,33.0,60.4,19.4,17.0,33.9,65.7,15.1,,,33.9,54.6,45.4,55.4
rhode island no_data,11.9,12.1,27.8,80.3,12.4,39.6,66.3,25.8,19.1,43.0,67.8,13.3,,,23.8,20.9,79.1,58.7
south no_data,14.5,12.9,32.0,74.7,38.2,30.1,50.2,45.4,10.7,25.0,83.1,10.1,,,22.6,27.0,73.0,61.9
south carolina no_data,15.6,11.3,32.8,66.9,38.9,37.0,75.9,24.1,15.9,45.8,66.6,15.1,,,23.2,26.4,73.6,61.3
south dakota no_data,7.4,12.8,25.1,79.6,39.0,39.8,63.8,29.3,24.0,41.2,66.9,10.9,,,17.7,15.9,84.1,74.4
tennessee no_data,19.1,12.2,40.9,70.8,33.7,38.0,61.9,30.5,21.3,40.0,64.0,10.8,,,30.5,31.2,68.8,60.3
texas no_data,10.5,13.4,25.7,82.0,39.0,38.9,65.6,19.3,24.6,55.7,70.7,15.1,,,18.9,27.6,72.4,66.1
"united states, dc & territories no_data",13.2,12.3,31.0,78.1,39.0,43.5,61.9,30.6,15.8,45.1,67.6,8.7,,,22.5,24.4,75.6,62.7
utah no_data,9.1,10.4,28.5,84.9,39.6,34.6,60.2,32.4,19.6,42.3,,11.5,,95.8,19.3,17.3,82.7,69.5
vermont no_data,8.5,12.1,25.4,81.0,41.4,33.1,65.5,26.5,11.4,41.7,67.2,12.0,5.3,,21.1,13.1,86.9,71.1
virginia no_data,12.0,10.7,27.9,78.6,42.7,28.9,69.9,17.4,17.2,42.8,,7.4,,,18.8,20.8,79.2,63.6
washington no_data,9.5,11.8,31.9,83.0,34.2,35.1,72.8,20.5,18.3,48.6,60.1,13.8,,,25.5,21.2,78.8,65.7
west no_data,11.9,10.7,30.9,82.2,43.2,32.6,70.7,25.8,16.4,45.1,69.8,10.8,,,20.5,24.1,75.9,65.0
west virginia no_data,18.1,15.6,39.4,61.3,42.0,31.4,68.0,17.7,17.1,44.9,64.3,11.7,,,25.6,34.6,65.4,57.9
wisconsin no_data,11.8,11.8,27.7,79.2,42.5,40.6,62.5,23.1,25.8,39.7,63.9,11.7,,,21.9,18.5,81.5,66.0
wyoming no_data,9.1,9.5,26.7,81.2,44.1,35.9,72.9,34.0,17.9,48.5,70.5,6.6,,,18.5,16.7,83.3,70.1
