,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,Frequent mental distress,Taking medication for high blood pressure,Disability status,Ever had pneumococcal vaccine,Obesity,Cholesterol checked in past 5 years,Colorectal cancer screening,No leisure time physical activity within past month,Current smoking,Influenza vaccine within past year,Diabetes screening within past 3 years,Binge drinking within past 30 days,High blood pressure ever,Lifetime diagnosis of depression,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
north carolina no_data,32.5,14.4,7.8,93.1,36.3,71.8,25.7,95.1,,31.8,9.7,70.9,72.9,3.4,34.3,16.5,28.7,71.3,73.3
north dakota no_data,47.7,13.9,4.7,95.4,32.6,70.4,29.2,94.1,,34.3,10.1,59.0,69.2,4.5,39.5,13.4,26.5,73.5,75.6
northeast no_data,49.1,18.1,7.0,93.5,33.5,66.9,26.8,96.1,79.5,33.8,8.0,61.4,73.9,4.7,37.5,13.9,25.7,74.3,69.7
ohio no_data,42.5,16.4,6.8,93.6,33.7,71.2,28.6,95.4,,37.0,9.7,62.6,,3.9,36.9,14.8,26.1,73.9,71.3
oklahoma no_data,28.1,12.5,8.7,92.7,40.2,74.4,26.9,94.7,,42.3,9.9,68.7,,2.0,34.4,17.8,27.9,72.1,74.8
oregon no_data,46.8,23.4,7.9,89.1,36.6,75.6,26.0,95.5,,22.8,8.0,56.2,,5.2,39.9,19.8,22.1,77.9,78.5
pennsylvania no_data,46.8,13.9,7.5,93.4,33.9,68.8,30.1,95.9,,36.7,10.0,59.4,76.6,4.6,36.0,14.3,26.0,74.0,71.5
puerto rico no_data,27.9,9.2,8.7,95.3,32.0,26.4,21.6,95.2,,57.8,5.0,31.1,92.2,4.2,28.0,17.9,58.3,41.7,62.9
rhode island no_data,48.3,16.3,6.1,95.4,35.2,72.4,26.8,97.5,,34.9,7.0,63.1,,4.6,35.5,16.3,23.4,76.6,67.1
south no_data,36.5,16.9,7.5,94.3,35.7,68.4,26.9,95.5,79.5,35.7,9.5,62.3,73.6,3.9,35.0,15.1,29.5,70.5,73.0
south carolina no_data,36.5,15.0,8.1,94.7,37.1,70.7,26.7,95.7,,32.0,8.4,65.3,74.6,4.5,32.3,16.9,29.6,70.4,74.6
south dakota no_data,43.4,11.5,4.9,94.5,37.0,65.4,28.7,93.8,,31.1,8.4,71.3,73.2,2.3,38.5,10.5,22.7,77.3,78.8
tennessee no_data,26.3,13.3,7.3,96.4,37.7,69.7,28.3,96.7,,41.7,10.8,73.4,75.9,2.0,29.8,15.0,33.8,66.2,70.4
texas no_data,33.2,18.3,6.1,94.8,34.8,67.8,27.6,94.1,,38.1,8.7,61.0,,4.8,36.7,13.7,30.2,69.8,77.1
"united states, dc & territories no_data",42.9,18.7,7.2,93.1,35.1,67.8,26.4,95.3,77.8,33.4,8.7,61.2,73.2,4.5,36.9,14.6,26.5,73.5,72.9
utah no_data,49.3,22.6,6.4,89.2,37.0,69.4,25.4,92.5,,26.8,4.2,57.4,,2.8,43.6,17.7,20.2,79.8,75.7
vermont no_data,50.6,22.5,5.3,90.4,32.6,73.4,25.4,96.1,,26.9,7.4,65.0,,3.9,39.6,17.4,17.1,82.9,75.1
virginia no_data,44.4,18.4,6.6,93.1,32.3,70.9,26.4,96.6,,34.6,10.4,62.8,73.6,4.5,38.6,14.1,26.7,73.3,72.4
washington no_data,43.1,21.3,6.5,89.7,41.0,73.4,27.0,94.6,78.5,24.4,7.3,60.8,68.1,4.7,40.0,18.1,20.9,79.1,75.0
west no_data,48.9,25.5,7.9,90.4,36.1,68.2,22.9,94.5,74.0,27.0,7.9,61.1,68.9,5.5,39.9,14.5,22.2,77.8,74.0
west virginia no_data,28.7,13.1,8.6,93.8,40.5,69.5,29.1,96.0,,38.4,11.2,73.9,76.0,2.5,31.1,15.8,38.0,62.0,69.6
wisconsin no_data,50.0,15.2,4.0,91.1,29.3,73.1,32.5,95.7,,30.1,6.4,54.4,72.1,6.1,38.4,10.9,21.8,78.2,75.0
wyoming no_data,40.5,19.6,5.2,89.7,36.3,68.9,23.4,93.1,,32.1,9.5,55.7,,3.5,41.1,13.4,22.8,77.2,78.3
