,Frequent mental distress,Fall with injury within last year,Disability status,Oral health:  tooth retention,Binge drinking within past 30 days,Obesity,Ever had pneumococcal vaccine,Colorectal cancer screening,Current smoking,No leisure time physical activity within past month,Influenza vaccine within past year,Diabetes screening within past 3 years,Social and emotional support,Life satisfaction,Lifetime diagnosis of depression,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
north dakota no_data,5.7,10.3,34.1,62.1,65.4,25.9,72.3,31.5,9.7,61.4,70.3,5.2,,,14.8,23.5,76.5,70.4
northeast no_data,7.0,10.4,36.7,56.1,71.2,29.9,76.2,32.4,9.6,60.0,70.7,4.6,,,15.4,24.6,75.4,74.0
ohio no_data,7.4,11.1,44.3,53.3,72.1,27.5,74.4,30.3,8.0,55.7,71.5,4.1,,,18.3,29.9,70.1,74.8
oklahoma no_data,8.6,12.2,40.9,67.9,68.5,33.4,69.9,34.7,10.2,67.0,,2.5,,,18.6,20.8,79.2,76.9
oregon no_data,6.9,9.9,33.9,59.3,70.2,28.9,77.8,39.8,11.2,56.5,69.0,5.1,,,14.9,24.1,75.9,72.6
pennsylvania no_data,7.2,9.9,33.6,45.6,75.5,27.1,73.1,24.0,8.6,59.6,72.3,4.4,,,17.3,61.5,38.5,62.5
puerto rico no_data,9.8,10.2,35.5,62.9,74.1,29.5,64.5,30.9,8.5,39.6,89.3,3.0,,,17.3,23.0,77.0,71.2
rhode island no_data,6.2,10.5,37.9,59.9,70.9,23.2,80.5,48.9,5.4,62.3,66.9,4.9,,,15.6,28.2,71.8,74.2
south carolina no_data,8.3,11.4,40.5,55.8,26.7,26.1,76.8,33.4,7.2,60.8,70.7,3.9,,,17.3,27.8,72.2,75.0
south dakota no_data,4.7,9.7,38.4,60.9,75.2,27.1,78.4,33.4,8.7,63.6,70.1,3.3,,,11.9,22.4,77.6,79.9
tennessee no_data,9.9,11.4,40.3,51.9,68.6,26.7,74.5,29.8,8.5,70.7,71.2,3.3,,,16.7,32.7,67.3,75.5
texas no_data,6.7,11.4,38.6,70.9,71.8,23.9,76.2,26.6,12.7,67.2,71.8,1.9,,,14.2,28.8,71.2,75.6
"united states, dc & territories no_data",7.4,10.7,36.9,62.4,68.8,30.7,72.7,34.4,7.4,58.7,,4.5,6.4,97.9,15.1,25.7,74.3,73.6
utah no_data,6.8,10.5,37.8,73.1,71.2,27.5,76.0,34.8,8.8,59.5,70.3,4.4,,,16.5,19.5,80.5,76.6
vermont no_data,4.8,11.1,33.5,62.2,67.8,28.4,78.0,31.4,4.5,57.9,,2.5,,,15.5,16.5,83.5,75.3
virginia no_data,6.7,9.9,33.3,63.2,68.8,25.5,75.8,24.7,5.8,62.8,65.1,4.9,,,13.7,25.2,74.8,75.4
washington no_data,7.2,10.5,42.2,69.2,69.3,26.9,75.5,27.7,9.5,62.5,70.4,3.1,,,18.8,22.0,78.0,75.6
west no_data,7.9,11.3,38.6,69.0,72.4,26.4,76.4,32.7,7.5,59.2,65.5,5.1,,,15.2,23.1,76.9,73.1
west virginia no_data,10.1,9.9,42.5,36.6,70.7,24.4,77.1,24.7,8.2,58.3,67.4,2.5,,,16.5,36.9,63.1,73.6
wisconsin no_data,6.7,10.1,32.8,67.2,73.4,30.8,72.8,26.0,12.7,69.8,78.3,9.0,,,12.5,21.9,78.1,78.6
wyoming no_data,6.5,10.5,36.8,62.8,70.8,30.3,80.0,37.5,7.5,53.8,71.4,3.8,,,15.2,22.0,78.0,76.3
