,Disability status,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,Frequent mental distress,Fall with injury within last year,Oral health:  tooth retention,Ever had pneumococcal vaccine,Obesity,Colorectal cancer screening,No leisure time physical activity within past month,Influenza vaccine within past year,Binge drinking within past 30 days,Current smoking,Diabetes screening within past 3 years,Lifetime diagnosis of depression,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
hawaii no_data,,,11.9,12.2,32.1,58.0,49.5,40.8,67.8,36.2,16.8,53.8,66.2,9.1,17.3,34.5,65.5,
idaho no_data,26.5,15.3,12.2,12.5,34.2,70.7,57.4,32.9,80.0,22.9,21.8,49.3,,8.8,26.2,19.4,80.6,
illinois no_data,,,12.8,10.3,36.0,77.1,46.4,35.6,77.8,26.1,20.4,47.3,74.2,8.2,16.3,22.9,77.1,
kansas no_data,,,11.1,14.3,29.2,72.8,50.6,29.9,83.7,24.1,13.6,48.3,,9.7,21.5,20.5,79.5,
kentucky no_data,,,9.7,8.7,27.1,71.7,46.8,35.3,75.6,22.8,15.8,47.5,,11.7,22.7,20.7,79.3,
louisiana no_data,,,8.4,11.0,37.5,72.8,47.0,36.2,71.3,27.4,13.8,53.4,68.3,12.8,20.7,21.5,78.5,
maine no_data,,,10.9,8.5,29.1,82.0,42.8,31.6,76.2,19.2,19.2,44.0,69.6,10.8,18.4,15.7,84.3,73.7
maryland no_data,,,11.6,7.7,27.2,52.5,45.5,36.7,63.8,36.5,18.4,48.2,64.3,11.8,23.8,39.3,60.7,
massachusetts no_data,,,13.4,10.6,28.2,67.4,54.6,39.1,70.7,30.1,14.0,50.0,66.7,4.7,22.5,27.2,72.8,
michigan no_data,,,9.1,8.9,35.1,78.2,51.0,29.9,63.6,21.5,20.9,43.8,,9.0,21.9,18.3,81.7,
midwest no_data,,,9.4,10.1,31.5,78.4,52.4,38.7,65.6,26.7,19.0,53.9,,13.7,17.2,19.0,81.0,
minnesota no_data,,,14.4,10.2,26.4,67.3,40.0,32.5,62.4,21.7,15.2,44.2,,11.2,21.6,31.9,68.1,
mississippi no_data,36.8,18.7,11.9,10.6,42.8,76.3,50.4,30.7,80.9,22.7,14.7,53.3,,5.5,17.5,14.1,85.9,60.7
missouri no_data,,,11.3,12.2,40.2,75.4,47.5,30.4,68.2,27.9,20.9,42.5,,12.7,16.4,22.8,77.2,
montana no_data,,,9.8,8.6,34.7,75.4,52.2,25.8,62.9,23.8,13.5,45.1,72.3,9.5,26.1,29.4,70.6,
nebraska no_data,30.2,16.7,10.4,13.0,30.3,70.2,52.2,25.6,72.5,30.7,17.6,41.5,66.6,8.5,21.7,26.3,73.7,
nevada no_data,,,11.7,8.5,34.9,67.0,49.8,35.9,73.2,28.6,17.6,43.2,74.1,12.0,21.2,23.2,76.8,
new hampshire no_data,,,10.6,12.4,25.5,74.5,52.1,37.8,64.4,27.8,13.5,45.1,73.4,5.0,17.8,20.6,79.4,
new jersey no_data,,,6.9,4.8,25.1,73.5,49.5,29.4,74.2,27.8,17.1,52.6,,13.9,20.6,23.0,77.0,
new mexico no_data,,,14.4,8.8,34.7,69.7,47.9,34.4,70.5,31.1,17.6,52.0,73.1,9.1,22.8,23.6,76.4,
new york no_data,,,10.7,8.7,36.4,66.3,51.0,34.4,62.3,33.9,15.0,49.3,72.4,7.0,23.6,26.5,73.5,
north carolina no_data,,,9.0,11.2,32.9,79.3,52.2,32.4,70.0,16.8,21.5,48.6,67.9,8.2,29.9,23.1,76.9,
north dakota no_data,,,9.2,12.3,26.5,75.8,45.1,33.3,71.8,27.8,20.0,40.9,61.1,10.0,20.5,23.5,76.5,70.9
northeast no_data,,,10.8,11.0,30.8,62.3,18.0,34.6,56.3,49.3,12.8,44.6,72.3,10.3,27.2,58.2,41.8,
ohio no_data,,,7.8,9.0,32.2,73.4,50.6,33.9,80.0,28.4,17.4,20.0,85.0,10.9,22.2,20.7,79.3,60.9
oklahoma no_data,,,10.5,8.4,42.9,67.6,48.3,35.5,70.2,29.8,8.3,50.0,,7.6,20.9,27.9,72.1,
oregon no_data,,,14.8,9.1,37.7,64.8,48.1,35.0,70.3,27.0,17.3,46.3,68.8,9.7,21.6,26.0,74.0,
pennsylvania no_data,,,12.5,9.6,27.8,79.7,46.2,34.5,72.0,34.2,17.2,48.9,,8.9,16.2,16.0,84.0,
puerto rico no_data,,,11.4,12.1,29.8,55.6,49.3,37.7,67.7,37.9,14.4,57.8,70.6,5.1,28.7,33.5,66.5,
rhode island no_data,30.2,16.7,7.4,11.6,27.9,73.5,49.0,38.6,64.9,26.4,18.3,56.3,70.9,7.3,19.1,29.2,70.8,
south no_data,,,11.3,9.6,36.1,72.4,47.8,33.3,71.3,27.5,21.3,44.3,67.1,9.4,20.5,25.3,74.7,66.3
south carolina no_data,,,11.7,9.6,36.3,83.2,57.7,30.9,76.0,19.7,14.2,45.9,70.3,6.5,25.4,18.6,81.4,
south dakota no_data,,,12.9,10.9,30.7,74.4,57.9,26.4,77.8,16.8,15.9,46.9,67.4,10.3,18.6,14.3,85.7,
tennessee no_data,,,17.0,10.7,40.0,74.2,56.2,33.6,72.9,28.9,8.4,51.2,63.7,6.2,21.0,25.9,74.1,
washington no_data,,,11.5,14.2,35.1,80.6,52.5,31.9,74.1,19.8,12.7,53.5,67.1,10.4,24.7,22.8,77.2,
west no_data,26.1,15.9,13.0,7.1,34.0,79.8,48.4,30.1,71.8,22.1,16.2,47.5,66.9,9.7,19.4,25.0,75.0,67.5
west virginia no_data,,,10.6,9.4,39.7,52.6,49.0,37.6,69.7,38.4,15.0,44.2,66.2,7.6,23.9,31.9,68.1,
wisconsin no_data,,,12.9,13.7,28.8,74.3,44.0,37.6,76.8,28.5,12.3,53.6,76.0,16.7,17.2,24.5,75.5,
wyoming no_data,15.6,14.6,11.7,11.0,30.9,72.6,46.9,30.2,63.7,26.3,23.4,43.0,68.5,8.7,20.6,20.8,79.2,
